title,placeUrl,website,rating,reviewCount,category,address,phoneNumber,searchQuery
Good Hope Carry Out,https://www.google.com/maps/place/Good+Hope+Carry+Out/data=!4m7!3m6!1s0x89b7b9b8f64cd345:0x26b7fae5977e8998!8m2!3d38.8670909!4d-76.9853937!16s%2Fg%2F1tgcbdg8!19sChIJRdNM9ri5t4kRmIl-l-X6tyY,,4,586,Restaurant,"1350 Good Hope Rd SE, Washington, DC 20020, United States",+1 202-678-7383,"https://www.google.com/maps/search/carryout+in+washington+dc/@38.9180495,-77.0714256,12z/data=!3m1!4b1"
Eddie Leonard Carryout,https://www.google.com/maps/place/Eddie+Leonard+Carryout/data=!4m7!3m6!1s0x89b7c98b6bf612d5:0x44af10a446557424!8m2!3d38.931153!4d-77.023825!16s%2Fg%2F11rsh9yq_3!19sChIJ1RL2a4vJt4kRJHRVRqQQr0Q,http://www.eddieleonardcarryoutdc.com/,3.5,93,Chinese restaurant,"3300 Georgia Ave NW, Washington, DC 20010, United States",+1 202-882-4277,"https://www.google.com/maps/search/carryout+in+washington+dc/@38.9180495,-77.0714256,12z/data=!3m1!4b1"
Mayflower Chinese Carryout,https://www.google.com/maps/place/Mayflower+Chinese+Carryout/data=!4m7!3m6!1s0x89b7c820ec18113b:0xb59b6c2e43820efd!8m2!3d38.928507!4d-77.0375229!16s%2Fg%2F1vpfkf78!19sChIJOxEY7CDIt4kR_Q6CQy5sm7U,,4.2,107,Chinese takeaway,"3066 Mt Pleasant St NW, Washington, DC 20009, United States",+1 202-299-9502,"https://www.google.com/maps/search/carryout+in+washington+dc/@38.9180495,-77.0714256,12z/data=!3m1!4b1"
Twin Dragon Carry-Out,https://www.google.com/maps/place/Twin+Dragon+Carry-Out/data=!4m7!3m6!1s0x89b7c87a21c1d28d:0x87b6c1c22ec62ea4!8m2!3d38.9567812!4d-77.0162912!16s%2Fg%2F1ttpc5v7!19sChIJjdLBIXrIt4kRpC7GLsLBtoc,http://www.twin-dragon-carryout.com/,4.1,567,Chinese restaurant,"5504 3rd St NW, Washington, DC 20011, United States",+1 202-545-0033,"https://www.google.com/maps/search/carryout+in+washington+dc/@38.9180495,-77.0714256,12z/data=!3m1!4b1"
Chen Sunny's Carry Out,https://www.google.com/maps/place/Chen+Sunny%27s+Carry+Out/data=!4m7!3m6!1s0x89b7c775f077e04b:0x5d4c2d35a24e0a81!8m2!3d38.9347319!4d-76.9637885!16s%2Fg%2F1tvdkpkz!19sChIJS-B38HXHt4kRgQpOojUtTF0,https://chensunnyscarry.com/,3.9,148,Chinese restaurant,"3131 Rhode Island Ave NE, Washington, DC 20018, United States",+1 202-832-5675,"https://www.google.com/maps/search/carryout+in+washington+dc/@38.9180495,-77.0714256,12z/data=!3m1!4b1"
Sammy Carry-Out,https://www.google.com/maps/place/Sammy+Carry-Out/data=!4m7!3m6!1s0x89b7c746be9ac607:0x89b21c96a93ee3b5!8m2!3d38.9256538!4d-76.9902558!16s%2Fg%2F1td01cpr!19sChIJB8aavkbHt4kRteM-qZYcsok,https://www.sammycarryout.com/,3.4,162,Chinese restaurant,"2801 12th St NE, Washington, DC 20017, United States",+1 202-832-3188,"https://www.google.com/maps/search/carryout+in+washington+dc/@38.9180495,-77.0714256,12z/data=!3m1!4b1"
China Sea Carryout,https://www.google.com/maps/place/China+Sea+Carryout/data=!4m7!3m6!1s0x89b7c889882084d9:0x44d539fd547a6c5b!8m2!3d38.9687989!4d-77.0276471!16s%2Fg%2F1tgwbt29!19sChIJ2YQgiInIt4kRW2x6VP051UQ,,3.8,61,Restaurant,"6450-B, 6450 Georgia Ave NW, Washington, DC 20012, United States",+1 202-723-2356,"https://www.google.com/maps/search/carryout+in+washington+dc/@38.9180495,-77.0714256,12z/data=!3m1!4b1"
Yum's Carryout,https://www.google.com/maps/place/Yum%27s+Carryout/data=!4m7!3m6!1s0x89b7b8c3e83633cd:0x9a96ee69caed60fa!8m2!3d38.8894094!4d-76.9366796!16s%2Fg%2F1tgqk9hl!19sChIJzTM26MO4t4kR-mDtymnulpo,,3.4,131,Chinese restaurant,"4512 Benning Rd SE, Washington, DC 20019, United States",+1 202-581-4308,"https://www.google.com/maps/search/carryout+in+washington+dc/@38.9180495,-77.0714256,12z/data=!3m1!4b1"
Eddie And Eddie Leonard Carryout,https://www.google.com/maps/place/Eddie+And+Eddie+Leonard+Carryout/data=!4m7!3m6!1s0x89b7b99a891b12a3:0x886c03941c007cce!8m2!3d38.8504939!4d-76.974901!16s%2Fg%2F1tkb5_dh!19sChIJoxIbiZq5t4kRznwAHJQDbIg,http://www.runinout.com/Eddie-Leonard%27s-Carryout-Congress-Heights-DC,3.9,278,Takeout restaurant,"2103 Alabama Ave SE, Washington, DC 20020, United States",+1 202-889-3199,"https://www.google.com/maps/search/carryout+in+washington+dc/@38.9180495,-77.0714256,12z/data=!3m1!4b1"
Hong Kong Carry-out,https://www.google.com/maps/place/Hong+Kong+Carry-out/data=!4m7!3m6!1s0x89b7c86c6274de95:0x1a75f703b7703805!8m2!3d38.9488752!4d-77.0267602!16s%2Fg%2F124yh24nz!19sChIJld50YmzIt4kRBThwtwP3dRo,http://www.hongkongwashington.com/?utm_source=gmb&utm_medium=website,3.9,87,Hong Kong style fast food restaurant,"4817 Georgia Ave NW #4533, Washington, DC 20011, United States",+1 202-829-7900,"https://www.google.com/maps/search/carryout+in+washington+dc/@38.9180495,-77.0714256,12z/data=!3m1!4b1"
Yum's,https://www.google.com/maps/place/Yum%27s/data=!4m7!3m6!1s0x89b7b7ea41100311:0xc02ae00c0cbe38ce!8m2!3d38.9094389!4d-77.0317112!16s%2Fg%2F1tffvv03!19sChIJEQMQQeq3t4kRzji-DAzgKsA,,3.9,413,Chinese restaurant,"1413 14th St NW, Washington, DC 20005, United States",+1 202-232-5608,"https://www.google.com/maps/search/carryout+in+washington+dc/@38.9180495,-77.0714256,12z/data=!3m1!4b1"
Yum's Carry Out,https://www.google.com/maps/place/Yum%27s+Carry+Out/data=!4m7!3m6!1s0x89b7ba07c7b65c27:0x926695cbbd9816e9!8m2!3d38.8321915!4d-77.0087033!16s%2Fg%2F1q5bnjft1!19sChIJJ1y2xwe6t4kR6RaYvcuVZpI,http://runinout.com/Congress-Heights-Yum-Carryout,2.9,121,Fast food restaurant,"3917 S Capitol St SE, Washington, DC 20032, United States",+1 202-562-6300,"https://www.google.com/maps/search/carryout+in+washington+dc/@38.9180495,-77.0714256,12z/data=!3m1!4b1"
Tiki Carryout & Deli,https://www.google.com/maps/place/Tiki+Carryout+%26+Deli/data=!4m7!3m6!1s0x89b7b7f1df1e8103:0xeb6189531291f653!8m2!3d38.9112549!4d-77.0217445!16s%2Fg%2F1tf82hc1!19sChIJA4Ee3_G3t4kRU_aRElOJYes,,4.6,65,Sandwich shop,"1601 7th St NW, Washington, DC 20001, United States",+1 202-234-8806,"https://www.google.com/maps/search/carryout+in+washington+dc/@38.9180495,-77.0714256,12z/data=!3m1!4b1"
Sing Long Carryout,https://www.google.com/maps/place/Sing+Long+Carryout/data=!4m7!3m6!1s0x89b7c86ecda54627:0xaa7bafbbd3350506!8m2!3d38.9533101!4d-77.0273542!16s%2Fg%2F1vgx1nb5!19sChIJJ0alzW7It4kRBgU107uve6o,http://www.singlongcarryout.com/?utm_source=gmb&utm_medium=website,3.9,86,Chinese takeaway,"5211 Georgia Ave NW #3923, Washington, DC 20011, United States",+1 202-291-5663,"https://www.google.com/maps/search/carryout+in+washington+dc/@38.9180495,-77.0714256,12z/data=!3m1!4b1"
Yeung Fong Carryout,https://www.google.com/maps/place/Yeung+Fong+Carryout/data=!4m7!3m6!1s0x89b7b95fc482c8d5:0x2ecaa50256cc9191!8m2!3d38.9127394!4d-77.008721!16s%2Fg%2F11qp4r9zyb!19sChIJ1ciCxF-5t4kRkZHMVgKlyi4,http://www.yeungfong-dc.com/,3.6,20,Chinese restaurant,"1701 North Capitol St NE, Washington, DC 20002, United States",+1 202-832-3869,"https://www.google.com/maps/search/carryout+in+washington+dc/@38.9180495,-77.0714256,12z/data=!3m1!4b1"
Royal Rooster Carryout,https://www.google.com/maps/place/Royal+Rooster+Carryout/data=!4m7!3m6!1s0x89b7b96ee3b4a739:0x1a7c4dfd76a93fcc!8m2!3d38.899133!4d-76.9766047!16s%2Fg%2F11h46j6t0b!19sChIJOae04265t4kRzD-pdv1NfBo,https://royalroosterdc.com/,4.4,36,Restaurant,"1826 Benning Rd NE, Washington, DC 20002, United States",+1 202-450-4606,"https://www.google.com/maps/search/carryout+in+washington+dc/@38.9180495,-77.0714256,12z/data=!3m1!4b1"
Hong Kong Delite Carry Out,https://www.google.com/maps/place/Hong+Kong+Delite+Carry+Out/data=!4m7!3m6!1s0x89b7b9f8334ba047:0xf7751d64cade8a6!8m2!3d38.8434053!4d-77.0001121!16s%2Fg%2F1tph2mjj!19sChIJR6BLM_i5t4kRpuitTNZRdw8,http://runinout.com/Hong-Kong-Delite-Congress-Heights-DC,3.7,328,Chinese restaurant,"3123 Martin Luther King Jr Ave SE, Washington, DC 20032, United States",+1 202-562-7047,"https://www.google.com/maps/search/carryout+in+washington+dc/@38.9180495,-77.0714256,12z/data=!3m1!4b1"
Howard China,https://www.google.com/maps/place/Howard+China/data=!4m7!3m6!1s0x89b7c81d386a5471:0xbfeb1d86d379fb61!8m2!3d38.9266667!4d-77.0227778!16s%2Fg%2F1vl5hp36!19sChIJcVRqOB3It4kRYft504Yd678,https://runinos.com/places/howard-china-washington-dc/,4.3,352,Restaurant,"2827 Georgia Ave NW, Washington, DC 20001, United States",+1 202-332-9461,"https://www.google.com/maps/search/carryout+in+washington+dc/@38.9180495,-77.0714256,12z/data=!3m1!4b1"
Fu Kang Carryout,https://www.google.com/maps/place/Fu+Kang+Carryout/data=!4m7!3m6!1s0x89b7c785346a89d1:0xffbd09b5a555b7e6!8m2!3d38.929836!4d-76.974071!16s%2Fg%2F1tmk9c_g!19sChIJ0YlqNIXHt4kR5rdVpbUJvf8,,3.9,40,Chinese restaurant,"2123 Rhode Island Ave NE, Washington, DC 20018, United States",+1 202-269-4547,"https://www.google.com/maps/search/carryout+in+washington+dc/@38.9180495,-77.0714256,12z/data=!3m1!4b1"
Tsim Yung,https://www.google.com/maps/place/Tsim+Yung/data=!4m7!3m6!1s0x89b7c7edad8aea71:0x725b325b56268cf6!8m2!3d38.9342781!4d-76.9909709!16s%2Fg%2F1td1kws6!19sChIJceqKre3Ht4kR9owmVlsyW3I,http://www.tsimyungdc.com/?utm_source=gmb&utm_medium=website,3.7,183,Chinese restaurant,"3625 12th St NE, Washington, DC 20017, United States",+1 202-635-1318,"https://www.google.com/maps/search/carryout+in+washington+dc/@38.9180495,-77.0714256,12z/data=!3m1!4b1"
Big China,https://www.google.com/maps/place/Big+China/data=!4m7!3m6!1s0x89b7b8063f93fd2d:0xb15d04732f53b019!8m2!3d38.91904!4d-77.0002856!16s%2Fg%2F1tl9ng8p!19sChIJLf2TPwa4t4kRGbBTL3MEXbE,http://www.bigchinadc.com/?utm_source=gmb&utm_medium=website,4,269,Chinese restaurant,"2135 4th St NE, Washington, DC 20002, United States",+1 202-526-6877,"https://www.google.com/maps/search/carryout+in+washington+dc/@38.9180495,-77.0714256,12z/data=!3m1!4b1"
China Town,https://www.google.com/maps/place/China+Town/data=!4m7!3m6!1s0x89b7c8214492eb9b:0x49587dc5946b51fc!8m2!3d38.931425!4d-77.0381894!16s%2Fg%2F1tdmqy_l!19sChIJm-uSRCHIt4kR_FFrlMV9WEk,http://runinout.com/Chinatown-Mt-Pleasant-DC,4.5,225,Chinese restaurant,"3207 Mt Pleasant St NW, Washington, DC 20010, United States",+1 202-332-8955,"https://www.google.com/maps/search/carryout+in+washington+dc/@38.9180495,-77.0714256,12z/data=!3m1!4b1"
Habesha Market Carry Out & Restaurant,https://www.google.com/maps/place/Habesha+Market+Carry+Out+%26+Restaurant/data=!4m7!3m6!1s0x89b7b7e574f78c53:0x1cbe9fcdf27a1061!8m2!3d38.9163472!4d-77.0237081!16s%2Fg%2F1tdvw5zg!19sChIJU4z3dOW3t4kRYRB68s2fvhw,http://habeshamarket.com/,4.5,839,Ethiopian restaurant,"1919 9th St NW, Washington, DC 20001, United States",+1 202-232-1919,"https://www.google.com/maps/search/carryout+in+washington+dc/@38.9180495,-77.0714256,12z/data=!3m1!4b1"
Eddie Yum's,https://www.google.com/maps/place/Eddie+Yum%27s/data=!4m7!3m6!1s0x89b7ba0a2b1606ab:0x34c0a4c9dded783c!8m2!3d38.8258706!4d-77.0076158!16s%2Fg%2F1vqmk7x5!19sChIJqwYWKwq6t4kRPHjt3cmkwDQ,http://www.eddieyums.com/,3.9,265,Chinese restaurant,"4405 S Capitol St SW, Washington, DC 20032, United States",+1 202-645-9867,"https://www.google.com/maps/search/carryout+in+washington+dc/@38.9180495,-77.0714256,12z/data=!3m1!4b1"
Mayflower Chinese food,https://www.google.com/maps/place/Mayflower+Chinese+food/data=!4m7!3m6!1s0x89b7c9c1f93400c9:0xd958e13953a16c54!8m2!3d38.947287!4d-77.0790503!16s%2Fg%2F1thq1lqp!19sChIJyQA0-cHJt4kRVGyhUznhWNk,https://www.mayflowerchineserestaurant.net/,3,194,Asian restaurant,"4427 Wisconsin Ave NW, Washington, DC 20016, United States",+1 202-244-8858,"https://www.google.com/maps/search/carryout+in+washington+dc/@38.9180495,-77.0714256,12z/data=!3m1!4b1"
Dannie's Kitchen,https://www.google.com/maps/place/Dannie%27s+Kitchen/data=!4m7!3m6!1s0x89b7c81233a75ea7:0x4827826436ea1bfb!8m2!3d38.9417281!4d-77.0246021!16s%2Fg%2F1tct9lz6!19sChIJp16nMxLIt4kR-xvqNmSCJ0g,https://www.dannieskitchendc.com/,3.7,156,Chinese restaurant,"830 Upshur St NW, Washington, DC 20011, United States",+1 202-829-7100,"https://www.google.com/maps/search/carryout+in+washington+dc/@38.9180495,-77.0714256,12z/data=!3m1!4b1"
Oohh's & Aahh's,https://www.google.com/maps/place/Oohh%27s+%26+Aahh%27s/data=!4m7!3m6!1s0x89b7b7e5c778a2e3:0x9d1ac5b24ed0b609!8m2!3d38.9171844!4d-77.0262413!16s%2Fg%2F11clzs04sh!19sChIJ46J4x-W3t4kRCbbQTrLFGp0,https://www.oohhsnaahhs.com/,4.2,2784,Soul food restaurant,"1005 U St NW, Washington, DC 20001, United States",+1 202-667-7142,"https://www.google.com/maps/search/carryout+in+washington+dc/@38.9180495,-77.0714256,12z/data=!3m1!4b1"
Chinese Dragon,https://www.google.com/maps/place/Chinese+Dragon/data=!4m7!3m6!1s0x89b7b7f85ad5bbf1:0xd6f98506d395a678!8m2!3d38.9158489!4d-77.0124085!16s%2Fg%2F1tg9jfxz!19sChIJ8bvVWvi3t4kReKaV0waF-dY,https://runinos.com/places/chinese-dragon-washington-dc/,3.9,64,Chinese takeaway,"103 Rhode Island Ave NW, Washington, DC 20001, United States",+1 202-328-6146,"https://www.google.com/maps/search/carryout+in+washington+dc/@38.9180495,-77.0714256,12z/data=!3m1!4b1"
China Taste,https://www.google.com/maps/place/China+Taste/data=!4m7!3m6!1s0x89b7c86221cb725f:0xf68c7abe0394f8d0!8m2!3d38.9655691!4d-77.0274053!16s%2Fg%2F1tnhz6m0!19sChIJX3LLIWLIt4kR0PiUA756jPY,,3.5,61,Chinese restaurant,"6215 Georgia Ave NW, Washington, DC 20011, United States",+1 202-726-0891,"https://www.google.com/maps/search/carryout+in+washington+dc/@38.9180495,-77.0714256,12z/data=!3m1!4b1"
Wah Mee & New China,https://www.google.com/maps/place/Wah+Mee+%26+New+China/data=!4m7!3m6!1s0x89b7b87634713193:0xa0fc8f1770fde82c!8m2!3d38.9266202!4d-76.9818862!16s%2Fg%2F1tfwfd1_!19sChIJkzFxNHa4t4kRLOj9cBeP_KA,http://www.wahmeenewchina.com/?utm_source=gmb&utm_medium=website,3.8,128,Asian restaurant,"1604 Rhode Island Ave NE, Washington, DC 20002, United States",+1 202-635-3442,"https://www.google.com/maps/search/carryout+in+washington+dc/@38.9180495,-77.0714256,12z/data=!3m1!4b1"
Chuck & Billy's Bar & Carryout,https://www.google.com/maps/place/Chuck+%26+Billy%27s+Bar+%26+Carryout/data=!4m7!3m6!1s0x89b7c81d5be19275:0xe322cf2e1d81c320!8m2!3d38.9256689!4d-77.0229544!16s%2Fg%2F1tg5vy_c!19sChIJdZLhWx3It4kRIMOBHS7PIuM,,4.4,112,Bar,"2718 Georgia Ave NW, Washington, DC 20001, United States",+1 202-234-5870,"https://www.google.com/maps/search/carryout+in+washington+dc/@38.9180495,-77.0714256,12z/data=!3m1!4b1"
Jerry Chan's Restaurant,https://www.google.com/maps/place/Jerry+Chan%27s+Restaurant/data=!4m7!3m6!1s0x89b7c78b3957cad1:0x147395333f1ab1c4!8m2!3d38.9247998!4d-76.9863085!16s%2Fg%2F1trrf2jq!19sChIJ0cpXOYvHt4kRxLEaPzOVcxQ,https://runinos.com/places/jerry-chans-restaurant-washington-dc/,4.3,73,Chinese restaurant,"1350 Brentwood Rd NE, Washington, DC 20018, United States",+1 202-635-0633,"https://www.google.com/maps/search/carryout+in+washington+dc/@38.9180495,-77.0714256,12z/data=!3m1!4b1"
Hunan Dynasty,https://www.google.com/maps/place/Hunan+Dynasty/data=!4m7!3m6!1s0x89b7b82c20c11ad9:0xc1bdc5ac68e06304!8m2!3d38.8870361!4d-77.0029!16s%2Fg%2F1tf6splv!19sChIJ2RrBICy4t4kRBGPgaKzFvcE,https://hunandynastytogo.com/,4,353,Hunan restaurant,"215 Pennsylvania Ave. SE, Washington, DC 20003, United States",+1 202-546-6161,"https://www.google.com/maps/search/carryout+in+washington+dc/@38.9180495,-77.0714256,12z/data=!3m1!4b1"
China Wok,https://www.google.com/maps/place/China+Wok/data=!4m7!3m6!1s0x89b7b841e07e918f:0x116050162ca1fe8e!8m2!3d38.9001535!4d-76.981533!16s%2Fg%2F1x5qtny_!19sChIJj5F-4EG4t4kRjv6hLBZQYBE,,4.1,154,Chinese restaurant,"1508 Benning Rd NE, Washington, DC 20002, United States",+1 202-388-0348,"https://www.google.com/maps/search/carryout+in+washington+dc/@38.9180495,-77.0714256,12z/data=!3m1!4b1"
Simon's Wok & Grill,https://www.google.com/maps/place/Simon%27s+Wok+%26+Grill/data=!4m7!3m6!1s0x89b7c9220b5a6e5f:0xb1c532759c867765!8m2!3d38.9563567!4d-77.0278175!16s%2Fg%2F11hdss17jm!19sChIJX25aCyLJt4kRZXeGnHUyxbE,,4.2,26,Chinese restaurant,"5501 Georgia Ave NW, Washington, DC 20011, United States",+1 202-882-3663,"https://www.google.com/maps/search/carryout+in+washington+dc/@38.9180495,-77.0714256,12z/data=!3m1!4b1"
Szechuan House,https://www.google.com/maps/place/Szechuan+House/data=!4m7!3m6!1s0x89b7b8333c029d69:0xa0a7ba23d96fabed!8m2!3d38.8822378!4d-76.9952381!16s%2Fg%2F11h1p7q1k!19sChIJaZ0CPDO4t4kR7atv2SO6p6A,https://szehousedc.com/,3.6,65,Chinese restaurant,"515 8th St SE 2nd floor, Washington, DC 20003, United States",+1 202-546-5303,"https://www.google.com/maps/search/carryout+in+washington+dc/@38.9180495,-77.0714256,12z/data=!3m1!4b1"
Merry's Kitchen,https://www.google.com/maps/place/Merry%27s+Kitchen/data=!4m7!3m6!1s0x89b7b9f73597c72b:0x11a6cc8f41e80c80!8m2!3d38.8453053!4d-76.9974693!16s%2Fg%2F1tk1nwpj!19sChIJK8eXNfe5t4kRgAzoQY_MphE,http://www.merryskitchenonline.com/,3.3,149,Restaurant,"2929 Martin Luther King Jr Ave SE, Washington, DC 20032, United States",+1 202-562-7180,"https://www.google.com/maps/search/carryout+in+washington+dc/@38.9180495,-77.0714256,12z/data=!3m1!4b1"
China House,https://www.google.com/maps/place/China+House/data=!4m7!3m6!1s0x89b7b84202fd9ee5:0xaf83a3e2f2b08777!8m2!3d38.89959!4d-76.9814043!16s%2Fg%2F1tcvcsr4!19sChIJ5Z79AkK4t4kRd4ew8uKjg68,,3.9,104,Chinese restaurant,"1601 Benning Rd NE, Washington, DC 20002, United States",+1 202-396-9041,"https://www.google.com/maps/search/carryout+in+washington+dc/@38.9180495,-77.0714256,12z/data=!3m1!4b1"
Panda Chinese Restaurant,https://www.google.com/maps/place/Panda+Chinese+Restaurant/data=!4m7!3m6!1s0x89b7b86d66df918f:0x64fa6bdd8baa4f63!8m2!3d38.9105888!4d-76.9849353!16s%2Fg%2F1tdl7050!19sChIJj5HfZm24t4kRY0-qi91r-mQ,http://www.pandachinesedc.com/?utm_source=gmb&utm_medium=website,3.4,115,Chinese restaurant,"1807 West Virginia Ave NE, Washington, DC 20002, United States",+1 202-526-8478,"https://www.google.com/maps/search/carryout+in+washington+dc/@38.9180495,-77.0714256,12z/data=!3m1!4b1"
China Chef Carryout,https://www.google.com/maps/place/China+Chef+Carryout/data=!4m7!3m6!1s0x89b7bf45eae835b3:0x3b55e91c87e91133!8m2!3d38.8980634!4d-76.9055866!16s%2Fg%2F1v62jk4n!19sChIJszXo6kW_t4kRMxHphxzpVTs,http://www.chinachefcarryoutmd.com/?utm_source=gmb&utm_medium=website,3.4,69,Chinese restaurant,"5926 Martin Luther King Jr Hwy, Capitol Heights, MD 20743, United States",+1 301-925-8858,"https://www.google.com/maps/search/carryout+in+washington+dc/@38.9180495,-77.0714256,12z/data=!3m1!4b1"
Golden China Chinese Restaurant,https://www.google.com/maps/place/Golden+China+Chinese+Restaurant/data=!4m7!3m6!1s0x89b7b7b67d604eaf:0x5ef3d94e36ac5ed3!8m2!3d38.9127878!4d-77.0195401!16s%2Fg%2F11mtfm5tzj!19sChIJr05gfba3t4kR016sNk7Z814,https://www.goldenchina1703.com/,3.6,40,Chinese restaurant,"1703 6th St NW, Washington, DC 20001, United States",+1 202-232-0422,"https://www.google.com/maps/search/carryout+in+washington+dc/@38.9180495,-77.0714256,12z/data=!3m1!4b1"
King City Restaurant,https://www.google.com/maps/place/King+City+Restaurant/data=!4m7!3m6!1s0x89b7b9c1828b820d:0x8c0e20a5a033c386!8m2!3d38.862806!4d-76.9925716!16s%2Fg%2F1tp1zq4r!19sChIJDYKLgsG5t4kRhsMzoKUgDow,,2.6,148,Chinese restaurant,"2403 Martin Luther King Jr Ave SE, Washington, DC 20020, United States",+1 202-889-6337,"https://www.google.com/maps/search/carryout+in+washington+dc/@38.9180495,-77.0714256,12z/data=!3m1!4b1"
